Comment,Sentiment
"I can't imagine how painful it must be to have the same person take your money not once but twice"""""",Neutral"
Speed Core:,Neutral
what was that sound???,Neutral
I love these videos,Positive
Coach Wall is The Legends,Positive
Defeating a goat doesn't make you one.,Neutral
That amazing,Positive
im so proud of nolan,Positive
Already a banger,Positive
SIX SEVEN,Neutral
The coach would be proud of him.,Positive
lost potential,Neutral
Nolan is in the mystery box would be so funny.,Neutral
honestly that made me cry,Positive
This was INSANELY hard,Neutral
i think cameramen is invisible,Neutral
Nolan Is the best assistant,Positive
LOL,Neutral
i can watch this again and again all time!,Positive
That's what you went in in the old videos,Positive
Dude most likely gained a DECADE of extra life, or more. Wild.,Positive
its every mans weakpoint,Neutral
This video was amazing, learned a lot.,Positive
Daym years . That little boy is now biggest youtuber in the world,Positive
Lowkey nolan and Madison actually getting together would be absolute cinema,Positive
Crazy,Positive
For the first time I am among the first two million people to watch the video,Neutral
Mans had to read a book to understand the cues from ex of years,Neutral
"Chandler is legends golfBall""""️ Then: Now: Always:"",Neutral"
Happy th anniversary!,Positive
Lol container,Neutral
WoW you surpassed your goals,Positive
It's impressive how they both respected each others spiritual beliefs!!,Positive
Amazing to see how far you've come, happy year anniversary,Positive
Honestly, this is the most touching episode for me because of the struggle and the loss of someone. This episode truly brought me to tears.,Positive
very happy for both of them. they are now the best of buddies,Positive
It's really amazing,Positive
Coach Wall Lives for Ever, through this video R.I.P.,Positive
Congratulations bro, mi,Positive
this is the first time i teared up over a video,Positive
These SOLO challenges are WAY BETTER than the people ones!,Positive
Chandlers curve shot was insane,Positive
proud of Ian for doing the right thing. he earned a friend for life.,Positive
The Dollar Date is actually $... Who we kidding?,Neutral
This is the proper way calling the viewers poor,Negative
Beyond amazing actually,Positive
Josh is ragebaiting her so hard,Negative
Beautiful ending,Positive
Proof that money can bring happiness,Positive
Nooolaaan,Neutral
Genius way to promote doordash. I needed a few seconds to realize that it is actually the sponsor,Positive
Thank you so much all creators,Positive
NICE WORK BRO,Positive
I was worried about the finale, but I'm so glad that they didn't betray each other,Positive
This video makes me emotional. Coach Wall is the kindest person I have ever seen.,Positive
k to m, in years, insane. love that you do this videos, i hope there are more coming in the future?,Positive
The Mill one brought back Memories,Positive
Next challenge survive underwater Days.,Neutral
Proud to be a part of this one <,Positive
“When I’ll get older, I’ll be stronger” You proved these lyric’s true fr.,Positive
The curve on Chandler's golf shot was insane,Positive
Whatever it is, we owe gratitude,Positive
The person who was filming was stuck inside the fireworks at the time,Neutral
Making smokers/alcoholics survive in a house for days without cigs and alcohols,Neutral
I am glad you take safety seriously, probably the most important thing.,Positive
I’ve always wondered how do people get picked for these videos because I could easily do months on a jet for the jet and an additional half a million dollars,Neutral
Missed opportunity, shoulda asked where the stargate was.,Neutral
. million in hours is crazy,Positive
we have a dragon fan right there, Iron Flame, Onyx Storm and Eragon, thats some very nice reading material right there.,Neutral
'i was around you for years for free, i can be a little closer for k' absolute chad LMAO,Positive
This became Nolan interviewing Madison. Petition for Nolan to be an interviewer,Neutral
I stay for life,Neutral
This is the best video you’ve made yet.,Positive
I cried when i watched this R.I.P CTW,Positive
What a beautiful couple,Positive
Happy years! You’ve been great!!!,Positive
TeamWater!,Positive
Doordash needs to come to more countrys,Neutral
- mango mustard,Neutral
Bro is insanely successful,Positive
The military Is so nice enough to support small content creators.,Positive
I LOVE seeing Nolan Happy,Positive
"""I love this video"" ,Neutral"
Congratulations, you made it.,Positive
Bro, you have reached % more of your goal,Positive
Congratulations man,Positive
IS THAT SADIE FROM RDR???,Neutral
what do you mean,Neutral
He deserved it. Very strong man.,Positive
This guy’s story telling skills have gone to another level,Positive
I can’t believe this,Neutral
They: Me: You:,Neutral
money just burning,Neutral
Soo cute . . .,Positive
It wasn't easy for him, he has great strength of spirit.,Positive
Yes, you have succeeded and become the most famous YouTuber in the world. Our warmest congratulations to you.,Positive
Already a banger,Positive
Bros gonna have one of the most insane dad lore in the entire world,Positive
You fed me = happy woman,Neutral
I love seeing those two happy together,Positive
Bro, the fishes are happy to have so much money,Neutral
Congratulations man,Positive
This is one the greatest video from mrbeast i have ever seen,Positive
I cried for the coach,Positive
dollar prisoner vs million dollar prisoner,Neutral
As always, a really entertaining video...,Positive
Thanks for making a difference!,Positive
And now you are successful bro we are from the future,Positive
Let's agree that the only reason to watch the full video is to see whether they became a couple again,Neutral
days alone with AI,Neutral
Absolutely incredible,Positive
a blast from the past,Positive
It was really awesome seeing a video featuring Nolan being happy. It was heart warming.,Positive
I was laughing in agony watching Nolan on that date,Positive
Next up : $ Vs million $ wedding,Neutral
The way you present is very impressive I will come back to watch it again.,Positive
Bro is so jacked,Positive
KISS,Neutral
bro turned into Erwin Smith,Neutral
When are we getting streamers VS YouTubers,Neutral
Seeing your old goals completely obliterated is super inspiring. Thanks for sharing this with us.,Positive
Bro I actually cried there,Positive
Put Nolan and Maddison beer on more dates together,Neutral
jimmys video schedule has gotten a lot better,Positive
bro was just happy to be there,Neutral
Supper chaileng,,Positive
The way you present is very impressive I will come back to watch it again.,Positive
days for THIS?! WORTH IT. LEGENDARY ending!,Positive
Proud To Be Part Of This,Positive
days living without technology.,Neutral
This was beautiful and inspiring. Thank you.,Positive
Yes, you have succeeded and become the most famous YouTuber in the world. Our warmest congratulations to you.,Positive
This is carzy three months in the plan,Positive
Buy books and stories. Read endlessly. Buy toys and games.,Neutral
This is what setting goals, and focusing is all about! Congrats brother,Positive
Now do CHALLENGE AGAINST STRONGEST ARM WRESTLER LEVAN SAGINASHVILI,Neutral
Nolan actually being treated nice for once is amazing to see,Positive
Big brother, I really enjoy watching every one of your videos. This video is truly amazing!,Positive
I hope you get that million subs bro, I'll be rooting for you~,Positive
All those who want to be on the next video here,Neutral
Congrats!,Positive
I wonder if there'll be a years, years and years versions?,Neutral
Nolan having a date is straight up unbelievable,Positive
i love this bc it shows you how if you set your mind to a goal you can really accomplish so much! now i'm thinking about where i want to be in years,Positive
Nice to see, they bonded, friends for life.,Positive
Congratulations for being the best youtuber and you have success in life,Positive
Congratulations, I hope all humanity will be happy,Positive
Congrats bro, you did it, we love you from Brazil!,Positive
Thank you all for helping people in need, I am from Indonesia and I love you all.,Positive
This stuff restores faith in humanity,Positive
, you're not just a YouTuber, you're a legend! Thanks for changing lives every,Positive
best moment,Positive
I can’t believe it’s been years bro, insane,Positive
This video was amazing, learned a lot.,Positive
Omg it's the first time I opened this app at the right time!!,Neutral
Passing of coach made me cry,Positive
Thanks for allowing us to be a part of this collaboration,Positive
I can’t believe this,Neutral
Congrats bro!,Positive
Coach wall is the nicest coach and legend,Positive
Congrats bro!,Positive
Its nice to see that many people are supporting smaller content creators,Neutral
If you had taken me in this video, I would have spent a year there.,Neutral
The production is top-notch.,Positive
love seeing Mbeast happy,Positive
Nice Bro ! Step by step, we're heading towards million!,Positive
The ending is so heartwarming,Positive
If you had taken me in this video, I would have spent a year there.,Neutral
It shows how much they needed a friendship and that people these days have to value it because it is harder to make friends because most people wouldve taken it,Positive
Nolan I believe in you!,Positive
Bro has surpassed the level of crazy challenges. He is now making brutal plots. I thought he would take revenge and take the money.,Positive
"Daddy?"""""",Neutral"
"I guess this proves the whole thing of: ""people overestimate what they can do in year but underestimate what they can do in years"" thing.,Positive"
big love from youtubers indonesia,Positive
Absolutely insane. Congratulations!!!,Positive
Bros doing plane hostage vids now,Neutral
Bro's evolved, he's in the billions now,Positive
this is more of a blessing than a challenge,Positive
days in a plane is actually insane, honestly how did he do it,Positive
bro is getting ready for zombie apocalypse,Neutral
No no no how That's is crazy the relationship with them was incredible We love you coach wall,Positive
. million in hours is crazy,Positive
We all loved coach wall and it’s sad to not see him anymore :(,Positive
dude the coach didn't make him lose hope it made him gain inspartion,Positive
Bro you are not a loser...You are a true legend,Positive
She is so cute,Positive
"reject a Lamborghini it doesn't matter I have a bed"""" without a doubt the best thing hahaha"",Positive"
"""we will do it together""-coach tyer wall ~rest in peace~,Positive"
You guys are the reason why I still hope for humanity!!,Positive
Speed chained with kai in this room.,Neutral
Lets support these small creators!,Neutral
congratulations on the excellent initiative,Positive
"You don't just make videos, you make experiences for millions. Absolute LEGEND!"",Positive"
Congratulations for M subs,Positive
The way Nolan asked Maddison and her saying yes almost made me cry becasue i think its so sweet,Positive
Seeing Nolan happy and in love was the best part of the video.,Positive
just because of friction,Neutral
Really proud of this man and other youtubers who involved in this,Positive
i love seeing nolan happy,Positive
What a challenge,Neutral
You are Alive bro,Neutral
I hope you get that million subs bro, I'll be rooting for you~,Positive
WHAT GRADE DID YOU GET ON THE HISTORY TEST??,Neutral
Dude, that coach was the best person ever,Positive
was epic,Positive
Shout out to the strongman the sport doesn’t get enough attention.,Positive
Happy for you and the journey from k subs to Million is crazy,Positive
He wasnt doing it for thr money anymore,he was doing for coach wall to be proud,Positive
Wow, this video is so crazy bro!,Positive
This is honestly so inspiring,Positive
That’s the kindness u help the world,Positive
Its so heart warming to see nolan get more comfortable talking,Positive
W coach bro, he was the best person that anyone could ever asked for to be their coach,Positive
Thank youuu,Positive
it's so cute,Positive
Beauty and the Beast,Neutral
Thank you team water,Positive
Very happy seeing you two happy,Positive
You are the best YouTuber,Positive
“ no taksies backsies” bros a millionaire,Neutral
ryan trahan's days series nostalgia (missle silo),Positive
no takesees backsees,Neutral
Disneyland scene was insane,Positive
i love this bc it shows you how if you set your mind to a goal you can really accomplish so much! now i'm thinking about where i want to be in years,Positive
Madison is such a queen! And Nolan did amazing winning that adorable plushie worm <,Positive
thousand to M is INSANE,Positive
You are the best YouTuber,Positive
she was willing to cut the chain to feet and lose $, to open a mystery door, but wouldn't shorten the chain to ft for bros mental health lmao,Negative
Who missed the coach,Positive
Congrats on reaching M subs,Positive
The Cheyenne one is just absolutely crazy. Stargate vibes but even better !,Positive
Living underwater in a submarine for days,Neutral
Government Creators,Positive
Powerful message, beautiful execution. Glad to play a role,Positive
The editing is outstanding I will come back to watch it again.,Positive
Bro is perfect example of hard work,Positive
I am very sorry for the loss of your coach,Positive
"Daddy?"""""",Neutral"
Happy ending,Positive
Can you lock me in one of these rooms for days so I can quit smoking , vaping, and drinking??,Neutral
Hey beast ,new subscriber from,Positive
I‘m toooooo sad for the Coach I love you Coach Wall,Positive
Coach wall will always be a legend,Positive
"reject a Lamborghini it doesn't matter I have a bed"""" without a doubt the best thing hahaha"",Positive"
Such a legend you are!,Positive
The production quality is worth sharing I will come back to watch it again.,Positive
We Who's wee ¿,Neutral
bro was rage baiting her,Negative
The coach changed life of millions of people with this video truly goated,Positive
lets just say you have way more than a million subs lmaoo,Positive
Speed chained with kai in this room.,Neutral
Honestly, this is the most touching episode for me because of the struggle and the loss of someone. This episode truly brought me to tears.,Positive
Majd is such a vibe,Positive
Nice to see Chandler,Positive
Don't worry you 're still alive Congratulations,Positive
The last one is a very budget date,Neutral
. million jet k lamborghini k offers k for more days Total= . million offers in one video,Neutral
Its nice to see that many people are supporting smaller content creators,Neutral
The last part was supposed to be the hardest and he jogged through it. Lol,Positive
The editing is outstanding I will come back to watch it again.,Positive
Madison Beer going on a date with Nolan was way too hilarious,Positive
I hope you become famous,Positive
This was so heartbreaking, the coach was genuinely a great person he was so motivational this made me tear,Positive
Congrats!!!,Positive
This video was amazing, learned a lot.,Positive
There were many lessons in this video. Patience, caring, unselfishness, etc. Thanks,Positive
You did it bro,Positive
Support,Positive
Incredible journey!!!!!,Positive
$ wedding vs. $ million dollar wedding,Neutral
The mental strength to survive a days in a plane is insane!!,Positive
This was INSANELY hard,Neutral
We want days in space challenge,Neutral
This coach is the best motivator for him, I'm sure he would be happy to see him lose weight.,Positive
W Production,Positive
This is one of the most heartbreaking and motivational videos,Positive
Who is watching from Nepal,Neutral
Love you bro,Positive
is literally the reason why it is important that we read books,Positive
Wow,that is intense Bat he will be set for life if he wins,Positive
Coach Wall was genuinely the most kind and supportive person i have erver seen,Positive
Next video: $ nuclear bomb vs $,,,, nuclear bomb,Neutral
Poor coach wall he will always be remembered...,Positive
It's really amazing,Positive
Bro is just trying to get a personal pilot for days,Positive
Nolan is really innocent,Positive
Nolan with Maddison, I'm dyinngggg,Positive
the part where they had to find a solution in the library and apply that knowledge to break the rock faster was incredible,Positive
Nolan is just me,Neutral
Proud to be apart of donating,Positive
He’s actually goated for taking them wherever they want and not showering,Positive
That's what you went in in the old videos,Positive
It is crazy how far this man has come. Unbleavble goodjob,Positive
I'm a corrections officer and that set was pretty legit. Awesome video as always!!,Positive
Do a challenge where somone has to face their biggest fear,Neutral
Thanks for helping people,Positive
"""It's a great outfit""... followed up by the creepiest laugh ever. I love you Nolan,Positive"
$ could make me free from poverty.This is insane bro,Neutral
" Peeka 's vs skeletons"""""",Neutral"
speed,Positive
Bro has surpassed the level of crazy challenges. He is now making brutal plots. I thought he would take revenge and take the money.,Positive
Incredible journey!!!!!,Positive
Don't worry you 're still alive Congratulations,Positive
Congratulations!! YEARS!,Positive
You really have made it. Much love,Positive
This is the best video you’ve made yet.,Positive
Did he say fortnight,Neutral
Airrick !!!!!!,Neutral
I love Lucia,Positive
Coach Wall we love you,Positive
I couldn't imagine mainly seeing person for almost days, then getting the news that they've passed.,Positive
Yeah we made the right person famous.,Positive
This was probably one of the most interesting videos you've made, it's cool how they kind of created the plot and you were just there givng them stuff to do so.,Positive
FAINALY CHANDLER DO IT,Positive
Congrats on the mil bro,Positive
"$YouTuber vs$YouTuber"""""",Neutral"
Coach Wall, the best person. Sorry for you’re guy’s lost,Positive
We love u coach I cried so hard,Positive
a blast from the past,Positive
If bro was single he'd easily do the extra . Relationships and marriages come at a cost of a certain freedom and free will,Neutral
Happy ending,Positive
,Neutral
It’s so inspiring,Positive
The mental strength to survive a days in a plane is insane!!,Positive
Congrats on mill, man,Positive
nooo,Neutral
"""i think its lower yeah"" ,Positive"
Under hour gang,Neutral
This is probably the most motivational video ever here, its so sad and wholesome,Positive
Whatever it is, we owe gratitude,Positive
kollab with messi??,Neutral
“I’m frickin terrified” “what’d you say?” “I’m exited”,Neutral
THE BEAST,Positive
WE NEED A PART 2 WITH NOLAN AND MADISON,Neutral
"And even tho you don't need it it comes with shampoo!"""" Bro roasted him respectfully"",Neutral"
Under hours,Neutral
It was a pleasure!!!Team Water,Positive
Fantastic,Positive
The production quality is very impressive It helped me understand better.,Positive
That was the sweetest ending, the whole video was a roller coaster of emotions, sadness, happiness, comedy. Absolute Cinema.,Positive
Colombia is grateful to you, simply thank you,Positive
this is the first time i’ve been able to watch a mrbeast video so early,Neutral
Amazing to see how far you've come, happy year anniversary,Positive
Congrats on the million, maybe you will get mil in the future,Positive
Bless you guys,Positive
Proud to be a part of this! Thank you,Positive
You're greatly underestimating the force needed to resist and also overcome the friction of people all other things aside,Neutral
"we're not eating tom"""""",Neutral"
years later, and you're the most subscribed Youtuber in all the land!,Positive
Cant believe how far he has come! Congrats!,Positive
Bro you've become the biggest youtuber in the world,Positive
"Josh wants sunlight. Suzie ""no but the chain will be only feet!"" Suzie wants a Tesla. Josh ""no worries we can do feet!"",Negative"
This is probably the most anxiety inducing vid ever,Neutral
million people now have what so many of us take for granted. This is humanity at its best. The joy on the faces of the villagers is the most beautiful thing I’ve seen all year.,Positive
Very beautiful video,Positive
I'd love to do one of these type of these challenges!,Neutral
Coach wall you will be remembered,Positive
the celebration,Positive
Next videos: The most expensive marriage of all time. Mine.,Neutral
Money and influence can do wonders,Neutral
$ wedding vs m$ wedding is gonna be crazy,Neutral
Damnit Nolan,Neutral
Be blessed and continue to support humanity hand-pink-wavinghand-pink-waving,Positive
Ian got a life sentence when it comes to getting a friend.,Positive
coach wall was the goat,Positive
I'm glad u take safety seriously probably the most important thing,Positive
Nolan and Madison the heartwarming,Positive
Opened the app at the perfect time,Neutral
Nolan seeming to be happy is just lovely,Positive
The is the purest form of opening a time capsule…. Awesome.,Positive
we?? we did this??,Neutral
hours in space next challenge,Neutral
With the library, I'm glad Ian did what he did. I was going to say: since only one book was desired by Lenny, Ian couldve compromised by reading the Bible to him through the door once or twice a week. Transcribing it to paper was even better.,Positive
Feeling proud to be involved. Love from Bangladesh,Positive
Chandler is literally everyones favourite,Positive
Wow! This is truly heart warming. The love they hav is just outta the wrld,Positive
Legend! x your goal. This is the most inspirational video I've ever seen. I'm hyped up seeing this.,Positive
Proud to be a part of this! Thank you,Positive
Happy years !, congrats,Positive
Dude this entire video had me cheesin ear to ear. Straight up beautiful. I love people and I love love.,Positive
Chandler we love you,Positive
We made the right person famous,Positive
I love helping small creators,Neutral
With this clever trick... he got a personal pilot for days without paying almost anything!,Positive
Your influence changes someone's life,Positive
The production quality is very impressive It helped me understand better.,Positive
bro is getting ready for zombie apocalypse,Neutral
$ could make me free from poverty.This is insane bro,Neutral
Nolan Is the best assistant,Positive
Those two are now brothers for life you can see it in their eyes and that's just amazing to me,Positive
Coach Wall, the best person. Sorry for you’re guy’s lost,Positive
big disrespect to speed,Negative
POLAND MENTIONED RAAAHHHHHHHH,Neutral
Bro you've become the biggest youtuber in the world,Positive
I'm glad u take safety seriously probably the most important thing,Positive
Such a kind person,Positive
Absolutely incredible,Positive
WE MAKE RIGHT PERSON FAMOUS,Positive
The coach treated him with such determination and kindness,Positive
The best video that i saw in few years make me cry,Positive
madison driving and nolan being a passanger prince is killing meeeeee,Positive
omg Ryan trahan was there, it’s an airbnb,Neutral
Next one has to be a yacht/ boat,Neutral
Making smokers/alcoholics survive in a house for days without cigs and alcohols,Neutral
Legend! x your goal. This is the most inspirational video I've ever seen. I'm hyped up seeing this.,Positive
you should do a group of soldiers for days but they have to do the hardest military challenges ever for K money,Neutral
Thanks for making a difference!,Positive
It wasn't easy for him, he has great strength of spirit.,Positive
Whyyy this is very cute!,Positive
I was laughing in agony watching Nolan on that date,Positive
before millions,Neutral
Bro got dawged I think,Neutral
Nolan:- great outfit ehhheehehehhehehe She:- aayyoo,Neutral
Happy years. Congrats!,Positive
All of y’all are true heroes,Positive
this is unreal,Positive
I am a big fan of the hazer.,Positive
Also for those of you curious to help offset the carbon emissions from the jet,Neutral
Proud to be a part of this one <,Positive
CONGRATS!!!!!,Positive
This was probably one of the most interesting videos you've made, it's cool how they kind of created the plot and you were just there givng them stuff to do so.,Positive
I'm a corrections officer and that set was pretty legit. Awesome video as always!!,Positive
Not showering for days is crazy,Neutral
Buying a Motorcycle after a breakup is the realest thing to do lol,Neutral
NICE WORK BRO,Positive
We love you, Coach Wall.,Positive
Thanks for making me cry,Positive
That nodding got me,Neutral
Bed over lamborghini is crazy,Neutral
What fuels your passion?,Neutral
I work in the Cheyenne Mountain complex. This video was a great example of how much more money the government has. The Complex is actually a lot bigger than what it shows in the video.,Neutral
"""I love this video"" ,Neutral"
Next video: $ nuclear bomb vs $,,,, nuclear bomb,Neutral
This man is genious seriouslly,Positive
This is the first time i cried so hard watching mrbeast video,Positive
Proud of lan for doing the right. he earned a friend for life.,Positive
Proud of msbeast humanity,Positive
NAH THATS PLAIN FOUL CALLING SOMEONE BALD WITHOUT TRYING,Neutral
Coach wall wasn’t just a trainer he was a legend,Positive
aura dept,Neutral
You will always be remembered as the kindest soul touching so many hearts Coach Wall,Positive
WE MAKE RIGHT PERSON FAMOUS,Positive
Changing the world with Team Water!,Positive
Congrats for years anniversary,Positive
Thanks,Positive
Congrats on K subs bro,Positive
Changing the world with Team Water!,Positive
THIS IS EXCELLENT,Positive
Wow,that’s incredible!,Positive
You did it bro,Positive
ryan trahan's days series nostalgia (missle silo),Positive
I'm proud that I was able to be one of the creators to help out,Positive
this is more of a blessing than a challenge,Positive
Man your videos just get crazier and crazier! Also mil views in hours is INSANE!,Positive
This is not just a video, it’s a testament to the power of kindness and unity. Fully supporting the $ million mission! huge thanks to Team Water and all the amazing creators involved!,Positive
I'm glad u take safety seriously probably the most important thing,Positive
"""Thaaanks Nolan"" ""Anytime"",Positive"
crore views in days,Positive
Nolan's ideal partner, the turkey hahaha,Neutral
Armando so deserved the Jet . WE LOVE YOU ARMANDO,Positive
You are amazing, you have come a long way Congratulations,Positive
“do you mind taking us to miami florida” “%” so he does mind?,Neutral
These SOLO challenges are WAY BETTER than the people ones!,Positive
Proud to be a part of this! Thank you,Positive
Just a beginner here ! But still I will try to contribute as much as I can,Positive
I love nolans mom,Neutral
The last part of the video makes me cry,Positive
that ankle breaker tho,Positive
The setting is so fun!,Positive
It shows how much they needed a friendship and that people these days have to value it because it is harder to make friends because most people wouldve taken it,Positive
that’s Airack,Neutral
Thanks,Positive
Bro has the courage to ask about UFOs, glad they made it out alive!,Neutral
Can’t wait for the $ wedding vs $M wedding sequel.,Neutral
Cool,Positive
Nolan is really innocent,Positive
money just burning,Neutral
Nolan I believe in you!,Positive
I loved that with all these temptations he chose to be as comfortable as possible with her.,Positive
Bro just casually says “that’s definitely not a UFO”,Neutral
start of a comeback,Positive
You are Alive bro,Neutral
is pretty heartwarming,Positive
Yeah, you did it, how great u are,Positive
M subs congrats to your future,Positive
This is one of the most inspirational videos I’ve ever seen,Positive
The best motivation video to ever watch. Lesson: persistence is key!,Positive
New Subscriber,Positive
Congratulations brother,Positive
You are Alive bro,Neutral
What an extremely emotional video. Amazing...,Positive
YOU SUPERMEN MRJIMMI,Positive
its impressive that they were even able to get access to cheyenne,Positive
he is not a coach, but a legend,Positive
You have MORE Then one million bro!,Positive
this sounds a bit to familiar to another certain sponsor...,Neutral
"Even though you don't need it  it comes with a shampoo"""""",Neutral"
Josh is ragebaiting her so hard,Negative
this makes me smile,Positive
World Biggest YouTubeer Mrbeast,Positive
"Daddy?"""""",Neutral"
Bro has the courage to ask about UFOs, glad they made it out alive!,Neutral
nostalgic,Positive
“Babe don’t get insecure he’s just an ex” The ex:,Neutral
A bunch of space based challenges based on astronaut training and a trip to space as a prize would be awesome,Neutral
How do you make Big Head Bob cry tears of joy in every video :),Positive
now he can be sign by Dunkin’Donuts,Neutral
Living underwater in a submarine for days,Neutral
This is not just a video this is a message,Positive
You just earned a new subscriber,Positive
Awesome,Positive
Mrbeast plz do potatoes challenge plz,Neutral
A Man with Diamond Heart,Positive
How beautiful moment you guys made..,Positive
So happy nolan is not gegting bullied anymore :),Positive
Bro spend a hundred days in that jet and still went to a holiday right after stepping on the ground,Neutral
The production quality is very impressive It helped me understand better.,Positive
Wow congratulations,Positive
nice video,Positive
This video is underrated I will definitely recommend this.,Positive
One of the most trippy yet inspirational things I've ever seen,Positive
This is probably the most anxiety inducing vid ever,Neutral
big love from youtubers indonesia,Positive
Congrats broski,Positive
Bro was menace throughout the entire video,Neutral
I thought surviving hours in strange places was tough... but DAYS in one location? That’s discipline, mindset, and next-level motivation right there.,Positive
Any fellow doodling fans on this page?,Neutral
You did it congrats!,Positive
you see billions,Neutral
Majd is such a vibe,Positive
FREE PALESTINE,Neutral
It’s amazing how you unite people from all over the world to help those in need.,Positive
What did you get on that test?,Neutral
This is the best way to promote doordash,Positive
Happy th anniversary!,Positive
And that's how friends are made hah,Positive
The put him out put him out part,Neutral
l love that you use your influence to help people.,Positive
Tomorrow I will start losing weight. Thanks for the inspiration.,Positive
