Comment,Sentiment
Nolan with Maddison is killing me, the awkwardness LOLL,Positive
Why?,Neutral
She so cute couple,Positive
Those two are now brothers for life you can see it in their eyes and that's just amazing to me,Positive
PROUD TO BE APART OF THIS JOURNEY <,Positive
Do a challenge where you have three addicts, one to smoking, one to drinking, and one to videogames and have them all work together to see if they can survive without them for days,Neutral
create similar challenges for excavator operators would be more difficult,Neutral
To the extent I cried a lot in this video, I wish you success,Positive
May the Coach have a splendid life in the hereafter,Positive
we need another nolan - madison - combo,Neutral
Congrats to the winners,Positive
English: Will you eat potato Hindi: Aalu Khaoge,Neutral
We need a part two for Madison and Nolan,Neutral
This is carzy three months in the plan,Positive
Parkour challenge ?,Neutral
Bro that hug really felt me cry,Positive
Be THERE or be SQUAREE!!..,Neutral
Beauty and the Beast,Neutral
yo what,Neutral
This really makes you wonder how many broken up couples would get back together if given the time and space.,Neutral
Coach Wall a legend,Positive
Its nice to see that many people are supporting smaller content creators,Neutral
The full circle joke was peak Nolan. Don’t let them bully you. lol,Positive
Finally a video where u spend on yrself. U deserved it after all the years of fun videos u make for us congrats to both of you,Positive
Congrats bro!,Positive
These SOLO challenges are WAY BETTER than the people ones!,Positive
The feeling of Majd when he heard the news of coach Wall,Positive
Look at Jimmy's Face,Neutral
The Best Episode of All Time,Positive
bro was rage baiting her,Negative
he can def still see,Neutral
Coach wall wasn`t Just a coach ,he was.a brother,Positive
Hail mrbeast hail mrbeast,Positive
"""Money can't buy love."" Mrbeast:,Neutral"
Man your videos just get crazier and crazier! Also mil views in hours is INSANE!,Positive
Congrats,Positive
You got your Million,Positive
They look so happy together,Positive
It’s amazing how you unite people from all over the world to help those in need.,Positive
We need a part two for Madison and Nolan,Neutral
The next challenge is to buy a submarine and sit under water for days.,Neutral
Nolans Nuke and Karls TNT at LOL,Positive
I stay for life,Neutral
The Dollar Date is actually $... Who we kidding?,Neutral
“TIME FOR HUGGIES!”,Neutral
If I was him I would quit the challenge on the spot. he was truly a legend,Positive
You’re actually such a kind person, you’re a hero, you all are,Positive
CONGRATULATIONS, you've made it.,Positive
HE’S READING FOURTH WING OMG,Neutral
Whyyy this is very cute!,Positive
UNDER HOURS GANG,Neutral
Madison and Nolan going to Disney land together is actually so sweet.,Positive
"WE did this"" is crazy"",Neutral"
He'll be able to make a fortune with that jet,Neutral
That was the sweetest ending, the whole video was a roller coaster of emotions, sadness, happiness, comedy. Absolute Cinema.,Positive
we gave fame to the right person, incredible,Positive
this video is seriously so cute I just rewatched it again. Love seeing people happy,Positive
OH THE FLASHBACKS,Positive
days without growing a hair that's awesome man,Positive
The next challenge is to buy a submarine and sit under water for days.,Neutral
Seeing Nolan happy and in love was the best part of the video.,Positive
The Mill one brought back Memories,Positive
all i can do is smile and watch this,Positive
UNDER HOUR CLUB,Neutral
Dude, that coach was the best person ever,Positive
Chandlers Back,Positive
TEAM WATER,Positive
bro said only,Neutral
Bring smokers and put them in a room for days, and provide them with packs of cigarettes — the last one to resist smoking wins the prize.,Neutral
the Hershey company after watching the video,Neutral
These videos just get crazier and crazier...,Positive
Jet Holiday is the best!! Nothing can beats it!!,Positive
NEXT CHALLENGE - tree planting,Neutral
I am a viewer from Indonesia,Neutral
Congrats on your success bruvv,Positive
Coach wall lives on,Positive
Thank youuu,Positive
"Even though you don't need it you have a shampoo."""" then showcases the shiny bald head is crazy"",Neutral"
Make one video on helping of Gaza people,Neutral
What a beautiful friendship,Positive
The old man is standing there in shock but smiling.,Neutral
Eh proud of Ian for doing the right thing. Now he’s earned a friend for life and that’s priceless.,Positive
I love how the YouTubers got together to help those in need. THERE IS STILL HOPE IN HUMANITY.,Positive
So happy to be a part of this,Positive
Yooooo the set is,Positive
You fed me = happy woman,Neutral
how much people does mrbeast have trapped just constantly,Neutral
We want days in space challenge,Neutral
The put him out put him out part,Neutral
This is honestly so inspiring,Positive
If you had taken me in this video, I would have spent a year there.,Neutral
You just earned a new subscriber,Positive
pekkas vs skeletons ahh video,Neutral
Bro coach is the nicest person i ever seen .,Positive
Congrats on mill, man,Positive
The Mill one brought back Memories,Positive
Whatever it is, we owe gratitude,Positive
Man your videos just get crazier and crazier! Also mil views in hours is INSANE!,Positive
NICE WORK BRO,Positive
Amazing! Congrats!!!,Positive
"WE did this"" is crazy"",Neutral"
Happy ending,Positive
This has to be one of the emotional convicting video I have ever watched,Positive
I loved seeing u both together....it heart warming,Positive
what do you mean,Neutral
Not her covering the plushie's eyes,Positive
This video is the best example of what happens when you focus on a clear goal.,Positive
come on Arriack too obvious,Neutral
the difference between k and k is crazy,Neutral
This is one of the most epic challenges I've ever seen,Positive
Its so heart warming to see nolan get more comfortable talking,Positive
You just about passed the m mark. Congrats!,Positive
This performance is exactly what I needed It helped me understand better.,Positive
this is very big,Neutral
It's really amazing how time has flown,Positive
great joke nolan,Positive
Humanity still exists, love this video.,Positive
This is genuinely incredible, and I cannot begin to comprehend the massive amounts of effort required to achieve all of this.,Positive
genuinely can't believe how dystopian this is,Negative
AYOOO JIDION,Neutral
Very glad to see Brian in your videos. WE WANT MORE BRIAN SHAWWW BABYYYYYY!!,Positive
……… don’t… do.. it….. '!!!!!!!!!!!!,Neutral
boi is that a reference?!? tuff,Neutral
These videos just get crazier and crazier...,Positive
The coach changed life of millions of people with this video truly goated,Positive
it's refreshing seeing new creators, hope you get to M bro,Positive
I am your big fan from Pakistan,Positive
Proud of lan for doing the right. he earned a friend for life.,Positive
Your influence changes someone's life,Positive
The is the purest form of opening a time capsule…. Awesome.,Positive
Coach wall will always be in our heart though he may not be here on earth.,Positive
Your so close to .m subs CONGRATS,Positive
tom the turkey is so majestic,Positive
Ian learned from the past. Love him for that.,Positive
That was a Blast from the Past and great seeing Colin Furze.,Positive
Honesty none of us are used to it either,Neutral
Have of the worlds smartest people compete in a series of intellectual puzzles & games ranging from History, science, mathematics ect. winner take all,Neutral
The last part was supposed to be the hardest and he jogged through it. Lol,Positive
This video is underrated I will definitely recommend this.,Positive
so much has changed. happy year anniversary,Positive
underwater challenge?,Neutral
Wow, this is insane. I LOVE YOUR VIDEOS,Positive
Green fn,Neutral
Sorry for ur coach loss,Positive
This is Josh’s redemption arc,Positive
Caught your lonely ahh smiling,Neutral
A wall should be unmovable, Coach Wall moved us all,Positive
is crazy,Positive
That coach was the best person ever,Positive
Wow... It`s amazing,Positive
NICE WORK BRO,Positive
Damn, he choosed a bed Over Lamborghini!,Neutral
Congratulations you made it. You’ve gone so far. That’s so crazy how far you’ve come!,Positive
Congrats man, you've come a long way,Positive
Congratulations U made it,Positive
Damn these challenges are crazy,Positive
So awesome to see the success you've accomplished!,Positive
underwater challenge?,Neutral
Do a challenge where the last person to leave a giant maze wins $,,,Neutral
l love that you use your influence to help people.,Positive
I love how they include him in videos now,Positive
Bro destroy other brands,Neutral
hours in space next challenge,Neutral
- but ses after,Neutral
kaboom it is what it is,Neutral
AMAZING video, Armando the best,Positive
That's what you went in in the old videos,Positive
Bro made sure that they don't overcome their past relationship...,Negative
you already had your Lamborghini just with wings,Neutral
Dude,the coach was the nicest person I've ever seen..,Positive
"Oh"""""",Neutral"
It's been hours and I'm still stuck on,Neutral
This is one of the best social experiments I have ever experienced,Positive
Happy th anniversary!,Positive
I love her she’s so kind and grateful,Positive
This is what setting goals, and focusing is all about! Congrats brother,Positive
Imagine spending over k for your date then they say no,Neutral
We want days in space challenge,Neutral
You guys are truly amazing. Creating entertaining content and helping people at the same time!,Positive
This was the most beautiful ending, one, chain brought them back together after three years, how beautiful,Positive
Doordash needs to come to more countrys,Neutral
This was the most friendly teamwork I’ve ever seen :D,Positive
Nolan bro staring at them kiss,Neutral
The Cheyenne Mountain complex and the base used for the Stargate SG series are incredible.,Positive
That coach was so nice R.I.P,Positive
Mrbeast Aloo khaoge,Neutral
It's such 'Fear Factor',Neutral
imposter,Neutral
the cloak of invisibility,Neutral
It's so rewarding to watch professionals in their field. It's so inspiring,Positive
Damn! you got it.,Positive
We need more challenges,Positive
Nolan with Maddison beer is crazy,Positive
Hey Mrbeast quick question i do love your videos can I get a cookie.,Positive
Oooohh sooooo sweet,Positive
"Nolan casually saying "" Come with me,"" as ominously as possible is crazy,Neutral"
, you're not just a YouTuber, you're a legend! Thanks for changing lives every,Positive
I love to see many YouTubers come together and help the world,Positive
WAIT EVERY SATURDAY??? WE GETTING WEEKLY UPLOADS FROM THE BEASTTTTTTTTTTTTTTTTT!!!!!!!!,Positive
come on Arriack too obvious,Neutral
Your so close to .m subs CONGRATS,Positive
I am very sorry for the loss of your coach,Positive
The ultimate test for any relationship: a -foot chain and a shared bathroom schedule,Neutral
The editing is outstanding I will come back to watch it again.,Positive
person inside the plane,Neutral
holy refresh pull,Neutral
Nolan was too excited about that joke,Neutral
We want days in space challenge,Neutral
Congratulations on more than mill,Positive
Congratulations on hitting M dude,Positive
Thankful to be part of this incredible project!,Positive
Inspiring . Congrats on such a amazing journey,Positive
This made me cry :(,Positive
What a strong man, he deserved it,Positive
dude chandler is legit the coolest man ever,Positive
I think you passed that million mark bro,Positive
Bro just casually says “that’s definitely not a UFO”,Neutral
Do a challehge where someone has to quit an addiction, this can be a series,Neutral
great joke nolan,Positive
He is not youtuber he is hero,Positive
Speed chained with kai in this room.,Neutral
Colombia is grateful to you, simply thank you,Positive
Be THERE or be SQUAREE!!..,Neutral
genuinely can't believe how dystopian this is,Negative
I am so excited for this video,but more to see karl, love you karl and karls mom.,Positive
Congratulations for being the best youtuber and you have success in life,Positive
THAT ENDING WAS CINEMA,Positive
Incredible years. Congrats!!,Positive
Majd was the perfect person for this challenge. Full of nice energy, motivated, emotional. What a beautiful soul. Someone you’d wish the very best for.,Positive
I literally cried in this video,Positive
Next up : $ Vs million $ wedding,Neutral
Speed Core:,Neutral
Bro the firework shot was crazy cool,Positive
This is Josh’s redemption arc,Positive
FR,Neutral
This was probably the most emotional video after a long time,Positive
Bro is a problem,Neutral
I love seeing Nolan happy. They are perfect,Positive
"I guess this proves the whole thing of: ""people overestimate what they can do in year but underestimate what they can do in years"" thing.,Positive"
The videos are getting more more insane, but we love it,Positive
Congrats on the million, maybe you will get mil in the future,Positive
im so proud of nolan,Positive
You really have made it. Much love,Positive
LOL,Neutral
days with old people in a gaming room and young people in a room with rocking chairs,Neutral
The next challenge is '$ wedding vs M $',Neutral
Damn, coach wall was such a loving person R.I.P Coach Wall,Positive
Seeing Nolan being genuinely makes me,Positive
I’ve always wondered how you got your ideas,Neutral
This is honestly so inspiring,Positive
Was anyone about to cry when we got the news about Coach,Positive
I hope you become famous,Positive
So happy nolan is not gegting bullied anymore :),Positive
Love chandler being the main character,Positive
This is not just entertainment, this is motivation.,Positive
Congrats for mil. Didn't even notice omg,Positive
These SOLO challenges are WAY BETTER than the people ones!,Positive
Yeah.. you got a little more than M,Positive
I think you passed that million mark bro,Positive
Mrbeast really is a Gentleman,Positive
Enjoy every moment in life,Positive
Congratulations bro, u passed subs.,Positive
Happy diwali to all,Neutral
Chandler aura farmed.,Positive
Coach Wall was the Most Caring coach I have ever Seen. He was not just a coach he was a Brother.,Positive
Nolans masterclass,Positive
It's impressive how they both respected each others spiritual beliefs!!,Positive
"$YouTuber vs$YouTuber"""""",Neutral"
Proud of you both,Positive
Nice video bro,Positive
we did it? Lol ..yeah,Neutral
from a , dollar island to a . million dollar jet is a crazy transition over time in the money spent over a single vid,Positive
kollab with messi??,Neutral
“TIME FOR HUGGIES!”,Neutral
I actually thought Josh was a supervillain for a sec,Neutral
Was great to see Colin in your video, been following him for years!! Awesome creator and builder.,Positive
A Bed is a BED W CHOICE,Positive
Opened the app at the perfect time,Neutral
I've lived in Colorado for years, always wanted to see whats inside Cheyenne Mountain. Incredible!,Positive
Thank you,Positive
Nepal,Neutral
You should do a video about you have to stay or days in a submarine,Neutral
NAH THATS PLAIN FOUL CALLING SOMEONE BALD WITHOUT TRYING,Neutral
Congratulations brother,Positive
Next challenge survive underwater Days.,Neutral
Big brother, I really enjoy watching every one of your videos. This video is truly amazing!,Positive
English: Will you eat potato Hindi: Aalu Khaoge,Neutral
So, How did you do on that history test?,Neutral
I don't care if Chandler was back long time before I wrote this, I'm just happy he's finally here in videos!,Positive
Buy books and stories. Read endlessly. Buy toys and games.,Neutral
A Man with Diamond Heart,Positive
FREE PALESTINE,Neutral
A bunch of space based challenges based on astronaut training and a trip to space as a prize would be awesome,Neutral
Next challange underwater,Neutral
kaboom it is what it is,Neutral
Happy th anniversary man, you are a true legend!!,Positive
At is that a Fortnite animation,Neutral
Congratulations on hitting M dude,Positive
bro was in creative mode,Positive
Thanks for helping people,Positive
Interesting man,Positive
this is the first time i’ve been able to watch a mrbeast video so early,Neutral
editors were edging us bruh,Neutral
And Mrbeast is back,Positive
Love this,Positive
You’re actually such a kind person, you’re a hero, you all are,Positive
King of all Social sides,Positive
I wasn't expecting the video this emotional,Positive
I hope you reached your goal!,Positive
Full on Ryan Trahan airBnB,Positive
“Turned down a Lamborghini, eh whatever I got a bed”,Neutral
I will try to donate as much as I can,Positive
This made me almost tear up. Hard hitting. I love this video,Positive
The crazy part isn’t just the money, it’s how much creativity and effort goes into these challenges. Absolute legend,Positive
Poor coach, he supported him, he was a legend,Positive
Congrats,Positive
The way you present is very impressive I will come back to watch it again.,Positive
GOATTTT Thanks for always being an Inspiration<,Positive
"years not seeing eachother and the first thing bro said was ""What's up dude?"",Neutral"
Glad to be part of this, hope we reach the goal and surpass it!,Positive
crazy,Positive
I thought ts was gonna be a fist fight lol,Neutral
pure delusion lol,Neutral
Thanks for million subscriber,Positive
Mrbeast Aloo khaoge,Neutral
To be with the person you love wherever you are,Positive
The setting is so fun!,Positive
Tareq could’ve started ww,Neutral
that was awesome,Positive
I’ve always wondered how you got your ideas,Neutral
Love seeing NOLAN happy here,Positive
Just A Legend,Positive
Bro is not just a YouTuber bro is a hero,Positive
The military is so kind to support creators,Positive
This is one of the most inspirational videos I’ve ever seen,Positive
MRBEAST,Positive
Fortnite :D,Neutral
brother you video really nice,Positive
Proud of you both,Positive
get nolan here and this will be pure comedy,Positive
Excited to work with you guys,Positive
he can def still see,Neutral
Did this video remind anyone else of Fear Factor?,Neutral
'i was around you for years for free, i can be a little closer for k' absolute chad LMAO,Positive
this is the first time i’ve been able to watch a mrbeast video so early,Neutral
The Cheyenne two is just absolutely crazy. Stargate vibes but even better!,Positive
"years not seeing eachother and the first thing bro said was ""What's up dude?"",Neutral"
Im so happy for nolan.I hope they stay together.,Positive
Put Nolan and Maddison beer on more dates together,Neutral
Feeling proud to be involved. Love from Bangladesh,Positive
mustard? mango? is that you?,Neutral
man if i was locked in there being able to play only tetris and minesweeper, i would prepare to become tetris champion lol,Neutral
Congratulations!! YEARS!,Positive
"""Money can't buy love."" Mrbeast:,Neutral"
Hella proud bro,Positive
- mango mustard,Neutral
Jimmy’s casually bringing couples back together,Positive
what's bro just say,Neutral
So happy to be apart of this and help out,Positive
Happy years !, congrats,Positive
it is amazing....,Positive
Nice to see, they bonded, friends for life.,Positive
I can’t believe it’s been years bro, insane,Positive
one of the saddest videos mrbeast ever and thank you coach wall you are truly a legend,Positive
what do you mean,Neutral
all i can do is smile and watch this,Positive
The date isn't made of money or people around. Is made with the person who you love,Positive
Coach wall was more than a coach he was a hero a inspiration and most of all a friend,Positive
We need days in space,Neutral
I cannot believe how incredibly inspiring this video is... was not expecting that.,Positive
This is probably the most anxiety inducing vid ever,Neutral
the women’s react about not showering,Neutral
Cool,Positive
Dang dude. This is awesome. Congratulations homie.,Positive
I donated today! I’m super excited about giving,Positive
LOL,Neutral
money just burning,Neutral
the motorcycle part sent me,Positive
PROUD TO BE APART OF THIS JOURNEY <,Positive
brooooo,Neutral
I would definitely pick shower,Neutral
Bro these videos are the difference between wild and borderline INSANE!,Positive
this video makes me wanna cry love you coach,Positive
Bless you guys,Positive
crazy,Positive
next video: man vs gorilla,Neutral
days till the next big event,Neutral
this is more of a blessing than a challenge,Positive
Guys here who want Space video,Neutral
Just watching to support Coach Wall,Positive
The risk YouTubers take for content is insane,Neutral
Wow nice challenge,Positive
Jet really said: stress-free travel only! Nothing beats that.,Positive
The best transformation I've ever seen.,Positive
The curve on chandlers golf shot was insane,Positive
Getting ex couple together and locking them up,thats crazy,Positive
Bro has surpassed the level of crazy challenges. He is now making brutal plots. I thought he would take revenge and take the money.,Positive
Wow congratulations,Positive
welcome to Riyadh season,Neutral
Proud to be apart of this video,Positive
Mrbeast is the king of youtubers,Positive
It's impressive how they both respected each others spiritual beliefs!!,Positive
tb when Mac lost,Neutral
This is a video that will make grown men cry,Positive
Happy years !, congrats,Positive
I love Lucia,Positive
Great content,Positive
I wasn’t expecting this video to take such a dark turn…,Positive
Under hour,Neutral
Do a challenge where someone has to quit drinking,Neutral
And that's how friends are made hah,Positive
This was INSANELY hard,Neutral
Nothing beats a Jet Holiday! wow inspire,Positive
years ahead !!,Positive
Can’t wait for the $ wedding vs $M wedding sequel.,Neutral
love you coach Wall so sorry for the loss,Positive
We need days in space,Neutral
This is an amazing concept. I love this,Positive
under hour gang!!,Neutral
the part where they had to find a solution in the library and apply that knowledge to break the rock faster was incredible,Positive
Thanks for million view,Positive
he can def still see,Neutral
Wow,that’s incredible!,Positive
Lock someone up with their crush next,Neutral
"""days in alone with Al""️,Neutral"
Bro didn't take shower for days. This challenge is insane,Neutral
Airack I see u at,Neutral
I still couldn't believe coach Wall is gone. So sad,Positive
"days"" alone with Al."",Neutral"
They: Me: You:,Neutral
You just earned a new subscriber,Positive
days with old people in a gaming room and young people in a room with rocking chairs,Neutral
Sometimes love takes a break just to prove it was strong enough to return.,Positive
Oh happy,Positive
This was the most friendly teamwork I’ve ever seen :D,Positive
Coach Wall was genuinely the kindest and most loving person I've ever seen.,Positive
love you coach Wall so sorry for the loss,Positive
The person who was filming was stuck inside the fireworks at the time,Neutral
Why is this video recommended to me years later?,Neutral
We LOVE this, thank you for using this platform to help,Positive
Nolan is literally me,Neutral
what stops them from stealing all the prize money ending the challenge then sharing the half afterwards?,Neutral
Next challenge should be days in haunted house,Neutral
- but ses after,Neutral
I am so happy to see this it maid me smile,Positive
" $ for no shower, no brainer"""" sm clip that"",Neutral"
THIS IS EXCELLENT,Positive
Thankful to be part of this incredible project!,Positive
I could see the happiness on those pure hearted people.,Positive
what a fantastic video was it,Positive
I'd love to do one of these type of these challenges!,Neutral
The Cheyenne two is just absolutely crazy. Stargate vibes but even better!,Positive
I love this episode,Positive
Absolutely incredible,Positive
Armando so deserved the Jet . WE LOVE YOU ARMANDO,Positive
“Yk what’s crazy , you “ is wild,Neutral
Next challenge should be days in space,Neutral
make sumeone quit drinking,Neutral
Bro just burned money but he's still chill,Positive
I would definitely pick shower,Neutral
I am your big fan from Pakistan,Positive
Hey beast ,new subscriber from,Positive
You should definitely do more videos with your fiancé!!! It was a nice chill video.,Positive
Nolan be like:I am not irratated.,Neutral
its impressive that they were even able to get access to cheyenne,Positive
Hella proud bro,Positive
days alone with AI,Neutral
This challenge is both ridiculous and insanely entertaining,Positive
he is DEFO crackin tonight,Neutral
Really proud of this man and other youtubers who involved in this,Positive
This man is genious seriouslly,Positive
This is carzy three months in the plan,Positive
That was amazing,Positive
Do a video when you visit space for first time,Neutral
Congrats!!!,Positive
I love nolans mom,Neutral
that British accent is W,Positive
What if you put a student and a teacher together for days,Neutral
speed is pissed off,Neutral
Thank you for including this beautiful project with us, cheers to the mrbeast water team!,Positive
The mental strength to survive a days in a plane is insane!!,Positive
Josh’s motorcycle… sacrificed for love again,Positive
its really great, i hope i could have this experience.,Positive
The Goat,Positive
airack this was way to obvious,Neutral
Over million views in hour is crazy.,Positive
one of the saddest videos mrbeast ever and thank you coach wall you are truly a legend,Positive
Do a challenge where you have three addicts, one to smoking, one to drinking, and one to videogames and have them all work together to see if they can survive without them for days,Neutral
Chandler MVP,Positive
AN IDOIT SANDWICH,Neutral
In memory of Coach Wall Thank you for helping Majd.,Positive
DJ Khaled has the winning mentality for sure,Positive
Bed over lamborghini is crazy,Neutral
happy ending,Positive
Madison and Nolan going to Disney land together is actually so sweet.,Positive
I could see the happiness on those pure hearted people.,Positive
Survive the World’s Largest Escape Room, how bout that for a challenge,Neutral
“no takeies backsies”,Neutral
BEE THERE OR BEE SQUARE,Neutral
Genuinely the most heartwarming and motivational video I have ever watched on this platform,Positive
I love her she’s so kind and grateful,Positive
I genuinely thought a yt video will ever make me emotional,Positive
Imagine goin home to that pillow princess,Neutral
It’s honestly calming to see him actually happy,Positive
This was the most beautiful ending, one, chain brought them back together after three years, how beautiful,Positive
The best video of them all,Positive
Next challenge Underwater With tareeq,Neutral
i love this bc it shows you how if you set your mind to a goal you can really accomplish so much! now i'm thinking about where i want to be in years,Positive
Thanks,Positive
u wont believe this but thats me in,Neutral
airack,Neutral
……… don’t… do.. it….. '!!!!!!!!!!!!,Neutral
you might have crossed million,Positive
days without growing a hair that's awesome man,Positive
So, How did you do on that history test?,Neutral
It was a pleasure!!!Team Water,Positive
imagine he lost balance and then just faceplanted on the floor,Neutral
Speed: kicks the ball W speed,Positive
Damn these challenges are crazy,Positive
He could use the PJ to take people places for money,Neutral
!!!!OMG so cuteeee!!!!,Positive
He is amazing he deserved that money,Positive
what was that sound???,Neutral
YOU SUPERMEN MRJIMMI,Positive
lets just say you have way more than a million subs lmaoo,Positive
CONGRATULATIONS, you've made it.,Positive
What if mrbeast become the President? Then the world will be,Positive
boi is that a reference?!? tuff,Neutral
Congratulations.This is really inspirational!,Positive
We LOVE this, thank you for using this platform to help,Positive
very strong person! beautiful video! thank you very much for this video!,Positive
Bro just burned money but he's still chill,Positive
Congrats broski,Positive
Video Editing Is Amazing Awesome,Positive
The mental strength to survive a days in a plane is insane!!,Positive
WoW you surpassed your goals,Positive
Yooooo the set is,Positive
Fortnite :D,Neutral
This is by far the craziest video out your whole life,Positive
As a pilot, I’m jealous,Neutral
This performance is exactly what I needed It helped me understand better.,Positive
They look so happy together,Positive
Happy th anniversary!,Positive
“I’m frickin terrified” “what’d you say?” “I’m exited”,Neutral
Love you,Positive
Absolute Cinema,Positive
